Title,Author,Year,Longitude,Latitude,Pages,Num Pages,DOI,Volume,Issue,Publisher
Mechanics of multiple feedbacks in benthic coral reef communities,"Kubicek, A., Reuter, H. ",2016,8.84598,53.10802,11,29-40,10.1016/j.ecolmodel.2016.02.018,329,,Ecological Modelling 
New encounters in Arctic waters: a comparison of metabolism and performance of polar cod (Boreogadus saida) and Atlantic cod (Gadus morhua) under ocean acidification and warming,"Kunz, K.L., Frickenhaus, S., Hardenberg, S., Johansen, T., Leo, E., Pörtner, H.-O., Schmidt, M., Windisch, H.S., Knust, R., Mark, F.C. ",2016,8.580516,53.533255,,1137-1153,10.1007/s00300-016-1932-z,39,6,Polar Biology
PCB and PBDE levels in a highly threatened dolphin species from the Southeastern Brazilian coast,"Lavandier, R., Areas, J., Quinete, N., de Moura, J.F., Taniguchi, S., Montone, R., Siciliano, S., Moreira, I. ",2016,-43.233361,-22.978293,,442-449,10.1016/j.envpol.2015.10.013,208,,Environmental Pollution 
The magnitude of a mid-Holocene sea-level highstand in the Strait of Makassar,"Mann, T., Rovere, A., Schöne, T., Klicpera, A., Stocchi, P., Lukman, M., Westphal, H. ",2016,119.488569,-5.136282,,155-163,10.1016/j.geomorph.2015.12.023,257,,Geomorphology
"Multi-decadal shoreline changes on Takú Atoll, Papua New Guinea: Observational evidence of early reef island recovery after the impact of storm waves","Mann, T., Westphal, H. ",2016,156.977778,-4.75,,75-84, 10.1016/j.geomorph.2015.12.028,257,, Geomorphology 
Distribution and bioconcentration of heavy metals in a tropical aquatic food web: a case study of a tropical estuarine lagoon in SE Mexico,"Mendoza-Carranza, M., Sepúlveda-Lozada, A., Dias-Ferreira, C., Geissen, ",2016,-99.185451,19.352767,,155–165,10.1016/j.envpol.2015.12.014,210,,Environmental Pollution
Effects of high dissolved inorganic and organic carbon availability on the physiology of the hard coral Acropora millepora from the Great Barrier Reef,"Meyer, F.W., Vogel, N., Diele, K., Kunzmann, A., Uthicke, S., Wild, C",2016,8.84598,53.10802,,,10.1371/journal.pone.0149598,11,3,Plos One 
The role of patron-client relations on the fishing behaviour of artisanal fishermen in the Spermonde Archipelago (Indonesia),"Miñarro, S., Navarrete Forero, G., Reuter, H., van Putten, I.E",2016,119.114444,-4.875556,,73-83,10.1016/j.marpol.2016.04.006,69,,Marine Policy 
"Effects of warming, nutrient enrichment and detritivore presence of litter breakdown and associated microbial decomposers in a simulated temperate woodland creek","Moghadam, F.S., Zimmer, M. ",2016,10.180184,54.327126,,243-256,10.1007/s10750-015-2596-3,770,1,Hydrobiologia
Stranding events of Kogia whales along the Brazilian coast,"Moura, J.F., Acevedo-Trejos, E., Tavares, D.C., Meirelles, A.C.O., Silva, C.P.N., Oliveira, L.R., Santos, R.A., Wickert, J.C., Machado, R., Siciliano, S., Merico, A. ",2016,-93.865578,41.615998,,,10.1371/journal.pone.0146108,11,1,Plos One 
Fate of terrestrial organic carbon and associated CO2 and CO emissions from two Southeast Asian estuaries,"Müller, D., Warneke, T., Rixen, T., Müller, M., Mujahid, A., Bange, H.W., Notholt, J. ",2016,110.359213,1.553278,,691-705,10.5194/bg-13-691-2016,13,,Biogeosciences 
Growth performance of the sea cucumber Holothuria scabra and the seaweed Eucheuma denticulatum: integrated mariculture and effects on sediment organic characteristics,"Namukose, M., Msuya, F.E., Ferse, S.C.A., Slater, M.J., Kunzmann, A",2016,39.290782,-6.298258,,179-189,10.3354/aei00172,8,,Aquaculture Environment Interactions 
"Experimental analysis of the effect of consumer exclusion on recruitment and succession of a coral reef system along a water quality gradient in the Spermonde Archipelago, Indonesia","Plass-Johnson, J.G., Heiden, J.P., Abu, N., Lukman, M., Teichberg, M. ",2015,119.114444,-4.875556,,229-243,10.1007/s00338-015-1369-9,35,1,Coral Reefs 
Non-random variability in functional composition of coral reef fish communities along an environmental gradient,"Plass-Johnson, J.G., Taylor, M.H., Husain, A.A.A., Teichberg, M.C., Ferse, S.C.A. ",2016,119.114444,-4.875556,,,10.1371/journal.pone.0154014,11,4,Plos One 
Patterns and trends in coral reef macroalgae browsing – a review of browsing herbivorous fishes of the Indo-Pacific,"Puk, L., Ferse, S.C.A., Wild, C. ",2016,119.114444,-4.875556,,53-70. ,10.1007/s11160-015-9412-z,26,1,Reviews in Fish Biology and Fisheries 
"Land-ocean interactions in the coastal zone: past, present and future","Ramesh, R., Chen, Z., Cummins, V., Day, J., D’Elia, C., Dennison, B., Forb, D.L., Glaeser, B., Glaser, M., Glavovic, B., Kremer, H., Lange, M., Larsen, J.N., Le, M., Newton, A., Pelling, M., Purvaja, R., Wolanski, E. ",2016,80.2329,13.013448,,85-98,10.1016/j.ancene.2016.01.005,12,,Anthropocen
Evolutionary trends in fish schools in heterogeneous environments,"Reuter, H., Kruse, M., Rovellini, A., Breckling, B",2016,8.84598,53.10802,,23-35,10.1016/j.ecolmodel.2015.09.008,326,,Ecological Modelling 
Coral mucus fuels the sponge loop in warm- and cold-water coral reef ecosystems,"Rix, L., de Goeij, J.M., Mueller, C.M., Struck, U., Middelburg, J.J., van Duyl, F.C., Al-Horani, F.A., Wild, C., Naumann, M.S., van Oevelen, D. ",2016,8.84598,53.10802,,,10.1038/srep18715,6,,Scientific Reports 
Elucidating fishing effects in a large-predator dominated system: the case of Darwin and Wolf Islands ,"Ruiz, D.J., Banks, S., Wolff, M. ",2016,-78.508838,-0.215596,,1-11,10.1016/j.seares.2015.11.001.,107,,Journal of Sea Research 
Seasonal fisheries changes in low-rainfall mangrove ecosystems of Iran.  ,"Shahraki, M., Fry, B. ",2016,55.891321,26.811867,,529-541,10.1007/s12237-015-0004-x,39,2,Estuaries and Coasts 
"Fish use of intertidal mangrove creeks at Qeshm Island, Iran","Shahraki, M., Saint-Paul, U., Krumme, U., Fry, B. ",2016,55.891321,26.811867,,153-166. ,10.3354/meps11546,542,,Marine Ecology Progress Series 
"Impact of human interventions on nutrient biogeochemistry in the Pamba River, Kerala, India","Shilly, E.D., Chattopadhyay, M., Chattopadhyay, S., Jennerjahn, T",2016,76.778659,9.414455,,1420-1430,10.1016/j.scitotenv.2015.09.092,541,,Science of the Total Environment 
"Collective action in a tropical estuarine lagoon: adapting Ostrom’s SES framework to Ciénaga Grande de Santa Marta, Colombia. International Journal of the Commons ","Torres Guevara, L.E., Schlüter, A., Lopez, M.C. ",2016,-74.382206,10.868865,,334-362,10.18352/ijc.623,10,1,International Journal of the Commons 
Multiproxy assessment of Holocene relative sea-level changes in the western Mediterranean: Sea-level variability and improvements in the definition of the isostatic signal," Vacchi, M., Marriner, N., Morhange, C., Spada, G., Fontana, A., Rovere, A. ",2016,18.048011,34.553128,,172-197. ,10.1016/j.earscirev.2016.02.002,155,,Earth-Science Reviews 
Hierarchical toolbox: ensuring scientific accuracy of citizen science for tropical coastal ecosystems,"Veimeren, P., Munoz, C., Zimmer, M., Sheaves, M. ",2016,8.84598,53.10802,,242-250,10.1016/j.ecolind.2016.01.031,66,,Ecological Indicators 
"Land use effects on mangrove nutrient status in Phang Nga Bay, Thailand","Wolters, J.-W., Gillis, L.G., Bouma, T.J., van Kwijk, M.M., Ziegler, A.D. ",2016,98.457746,8.306561,,68-76,10.1002/ldr.2430,27,,Land Degradation and Development 
"Capacity building for tourism development in a nested soial-ecological system – a case study of the South Penghu Archipelago Marine national Park, Taiwan","Wu,  C.-C., Tsai, H.-M. ",2016,119.505278,23.5025,,66-73,10.1016/j.ocecoaman.2016.02.001,123,,Ocean and Coastal Management 
The impact of Indonesian peatland degradation on downstream marine ecosystems and the global carbon cycle running head: impacts of Indonesian peatland degradation,"Abrams, J.F., Hohn, S., Rixen, T., Baum, A., Merico, A. ",2016,113.921327,-0.789275,, 325–337,10.1111/gcb.13108,22,1,Global Change Biology
"Metabolic performance of the coral reef fish Signatus guttatus exposed to combinations of water borne diesel, an anionic surfactant and elevated temperature in Indonesia","Baum, G., Kegler, P., Scholz-Böttcher, B.M., Alfiansah, Y.R., Abrar, M., Kunzmann, A. ",2016,106.841437,-6.033117,,735–746,10.1016/j.marpolbul.2016.02.078.,110,2,Marine Pollution Bulletin
Linking the biology and ecology of key herbivorous unicornfish to fisheries management in the Pacific,"Ford, A.K., Bejarano, S., Marshell, A., Mumby, P.J",2016,178.065032,-17.713371,, 790–805,10.1002/aqc.2623,26,4,Marine and Freshwater Ecosystems
Uzbekistan – a region of world society (?) Variants of differentiation in agricultural resources governance. ,"Hornidge, A.-K., van Assche, K., Shtaltovna, A. ",2015,113.921327,-0.789275,,,,,,Soziale Systeme
"Modelling climate change impacts on marine fish populations: process-based integration of ocean warming, acidification and other environmental drivers. ","Königstein, S., Mark, F.C., Gößling-Reisemann, S., Reuter, H., Poertner, H.-O. ",2016,8.84598,53.10802,, 972–1004,10.1111/faf.12155,17,4,Fish and Fisheries. 
A geomorphic interpretation of shoreline change rates on reef islands,"Mann, T., Bayliss-Smith, T., Westphal, H. ",2015,156.977778,-4.75,, 500-507,10.2112/jcoastres-d-15-00093.1.,32,3,Journal of Coastal Research
Nitrous oxide and methane in two tropical estuaries in a peat-dominated region of North-western Borneo,"Müller, D., Bange H.W., Warneke, T., Rixen, T., Müller, M., Mujahid, A., Notholt, J. ",2016,114.55485,0.961883,,2415-2428,10.5194/bg-2016-4,13,8,Biogeosciences Discussions
"Morphologically similar, coexisting corals (Porites lobata and P. solida) display similar trophic isotope ratios across reefs and depths","Plass-Johnson, J.G., McQuaid, C.D., Hill, J.M. ",2015,39.36212,-6.13573,,671-676,10.1071/MF14248,67,5,Marine and Freshwater Research. 
Tidal and diel patterns in abundance and feeding of a marine-estuarine-dependent fish from macrotidal mangrove creeks in the tropical eastern Pacific (Colombia). ,"Ramirez-Martínez, G.A., Castellanos-Galindo, G.A., Krumme, U. ",2016,-74.297333,4.570868,,1249–1261,10.1007/s12237-016-0070-8,39,4,Estuaries and Coasts
The need for a holistic approach in mangrove-related fisheries research: a specific review of the German and Brazilian project MADAM,"Saint-Paul, U., Schneider, H. (2016). ",2016,-51.92528,-14.235004,,601–618,10.1111/jfb.12880,89,1,Journal of Fish Biology
Flexible phytoplankton functional type (FlexPFT) model: size-scaling of traits and optimal growth,"Smith, S.L., Pahlow, M., Merico, A., Acevedo-Trejos, E., Sasai, Y., Yoshikawa, C., Sasoka, K., Fujiki, T., Matsumoto, K., Honda, M.C. ",2015,139.638026,35.443708,,977-992,10.1093/plankt/fbv038.,38,4,Journal of Plankton Research. 
"Gear selectivity of fishery target resources in Lake Koka, Ethiopia: evaluation and management implications","Tesfaye, G., Wolff, M., Taylor, M. ",2016,39.033333,8.433333,,277-295,10.1007/s10750-015-2420-0,765,1,Hydrobiologia 
Mechanisms shaping size structure and functional diversity of phytoplankton communities in the ocean,"Acevedo-Trejos, E., Brandt, G., Bruggeman, J., Merico, A. ",2015,8.84598,53.10802,,,10.1038/srep08918,8918,,"Scientific Reports 5, "
 Tidal notches in Mediterranean Sea: a comprehensive analysis. ,"Antonioli, F., Lo Presti, V., Rovere, A., Ferranti, L., Anzidei, M., Furlani, S., Mastonuzzi, G., Orru, P.E., Sicchitano, G., Sannino, G., Spampinato, C.R., Pagliarulo, R., Deiana, G., de Sabata, E., Sanò, P., Vacchi, M., Vecchio, A. ",2015,18.048011,34.553128,,66-84,10.1016/j.quascirev.2015.03.016,119,,Quaternary Science Reviews 
"A review of the MIS 5e highstand deposits from Santa Maria Island (Azores, NE Atlantic): palaeobiodiversity, palaeoecology and palaeobiogeography","Ávila, S.P., Melo, C., Silva, L., Ramalho, R.S., Quartau, R., Hipólito, A., Codeiro, R., Rebelo, A.C., Madeira, P., Rovere, A., Hearty, P.J., Henriques, D., Marques da Silva, C., de Frias Martins, A.M., Zazo, C. ",2015,-82.714481,27.504126,,126-148,10.1016/j.quascirev.2015.02.012,114,,Quaternary Science Reviews 
"Local and regional impacts of pollution on coral reefs along the Thousand Islands north of the megacity Jakarta, Indonesia. ","Baum, G., Januar, H.I., Ferse, S.C.A., Kunzmann, A. ",2015,106.822745,-6.174465,,,10.1371/journal.pone.0138271,10,9,Plos One 
Seasonal variation in dinitrogen fixation and oxygen fluxes associated with two dominant zooxanthellate soft corals from the northern Red Sea. ,"Bednarz, V.N., Cardini, U., van Hoytema, N., Alrshaidat, M., Wild, C. ",2015,38.820545,16.2584,,141-152,10.3354/meps11091,519,,Marine Ecology Progress Series 
Dinitrogen fixation and primary productivity by carbonate and silicate reef sand communities of the Northern Red Sea,"Bednarz, V.N., van Hoytema, N., Cardini, U., Naumann, M., Al-Rshaidat, M.M.D., Wild, C. ",2015,38.820545,16.2584,,47-57,10.3354/meps11224,527,,Marine Ecology Progress Series 
"Relationships of invasive lionfish with topographic complexity, groupers, and native prey fishes in Little Cayman","Bejarano, S., Lohr, K., Hamilton, S., Manfrino, C. ",2015,-80.036726,19.689727,,253-266,10.1007/s00227-014-2595-3,162,2,Marine Biology 
Health promotion messages: the role of social presence for food choices. ,"Bittner, J.V., Kulesz, M.M. ",2015,9.944526,48.419731,,336-343,10.1016/j.appet.2015.01.001,87,,Appetite
 Contrasting sea surface temperature of summer and winter monsoon variability in the northern Arabian Sea over the last 25 ka,"Böll, A., Schulz, H., Munz, P., Rixen, T., Gaye, B., Emeis, K.-C. ",2015,64.33717,12.250151,,10-21,10.1016/j.palaeo.2015.02.036,426,,"Palaeogeography, Palaeoclimatology, Palaeoecology "
 Using empirical orthogonal functions derived from remote-sensing reflectance for the prediction of phytoplankton pigment concentrations,"Bracher, A., Taylor, M.H., Taylor, B., Dinter, T., Röttgers, R., Steinmetz, F. ",2015,8.580516,53.533255,,139-158,10.5194/os-11-139-2015,11,,Ocean Science 
The slow demise of Easter Island,"Brandt, G., Merico, A. ",2015,8.84598,53.10802,,,10.3389/fevo.2015.00013,13,3,Frontiers in Ecology and Evolution 
Implementation of artificial habitats: Inside or outside the marine protected areas? Insights from a mathematical approach,"Brochier, T., Auger, P., Thiam, N., Sow, M., Diouf, S., Sloterdijk, H., Brehmer, P. ",2015,-14.452362,14.497401,,98-106,10.1016/j.ecolmodel.2014.10.034,297,,Ecological Modelling 
The formation of aggregates in coral reef waters under elevated concentrations of dissolved inorganic and organic carbon: a mesocosm approach,"Cárdenas, A., Meyer, F., Schwieder, H., Wild, C., Gärdes, A ",2015,8.84598,53.10802,,47-55 ,10.1016/j.marchem.2015.04.002,175,,Marine Chemistry 
"The ""Flexi-Chamber"": a novel cost-effective in situ respirometry chamber for coral physiological measurements. ","Camp, E.F., Krause, S., Freitas, L., Naumann, M.S., Kikuchi, R., Smith, D.J., Wild, C, Suggett, D.J",2015,-38.502304,-12.97304,,,10.1371/journal.pone.0138800,10,10,Plos One 
Functional significance of dinitrogen fixation in sustaining coral productivity under oligotrophic conditions,"Cardini, U, Bednarz, V.N., Naumann, M.S., van Hoytema, N., Rix, L., Foster, R.A., Al-Rshaidat, M.M.D., Wild, C. ",2015,38.820545,16.2584,,,10.1098/rspb.2015.2257,282,1818,Proceedings of the Royal Society 
37 years later: revisiting a Red Sea long-term monitoring site,"Cardini, U., Wild, C., van Hoytema, N., Schuhmacher, H., Alrshaidat, M.M.D. Naumann, M.S. ",2015,35.006321,29.532052,,,10.1007/s00338-015-1321-z,34,,Coral Reefs 
Threats to mangrove social-ecological systems in the most luxuriant coastal forests of the Neotropics,"Castellanos-Galindo, G.A., Cantera, J.R., Saint-Paul, U., Ferrol-Schulte, D. ",2015,-78.183406,-1.831239,,701-704,10.1007/s10531-014-0827-y,24,3,Biodiversity Conservation 
"Tides, salinity, and biogeography affect fish assemblage structure and function in macrotidal mangroves of the Neotropics","Castellanos-Galindo, G.A., Krumme, U. ",2015,-78.183406,-1.831239,,1165-1178,10.1007/s10021-015-9887-4.,18,7,Ecosystems
Environmental and anthropogenic factors structuring waterbird habitats of tropical coastal lagoons: implications for management,"Castro Tavares, D., Guadagnin, D.L., Fulgencio de Moura, J., Siciliano, S., Merico, A. ",2015,-51.92528,-14.235004,,12-21,10.1016/j.biocon.2015.02.027,186,,Biological Conservation 
 Lignocellulose degradation mechanisms across the tree of life,"Cragg, S.M., Beckham, G.T., Bruce, N.T., Bugg, T.D.H., Distel, D.L., Dupree, P., Green Etxabe, A., Goodell, B.S., Jellison, J., McGeehan, J.E., McQueen-Mason, S.J., Schnorr, K., Walton, P.H., Watts, J.E.M., Zimmer, M. ",2015,8.84598,53.10802,,108-119,10.1016/j.cbpa.2015.10.018.,29,,Current Opinion in Chemical Biology 
"Impact of human interventions on nutrient biogeochemistry in the Pamba river, Kerala, India","David, S.E., Chattopadhyay, M., Chattopadhyay, S., Jennerjahn, T.C. ",2015,-51.92528,-14.235004,,1420-1430,1016/j.scitotenv.2015.09.092,541,,Science of the Total Environment 
Dynamic repeated random dictatorship and gender discrimination,"Dittrich, D.A.V., Büchner, S., Kulesz, M.M. ",2015,11.578608,50.917891,,81-90,10.1016/j.socec.2015.02.001,55,,Journal of Behavioral and Experimental Economics 
 Multi-scale processes drive benthic community structure in upwelling-affected coral reef,"Eidens, C., Hauffe, T., Bayraktarov, E., Wild, C., Wilke, T. ",2015,8.677753,50.580764,,,10.3389/fmars.2015.00002,2,,Frontiers in Marine Science
From adoption to implementation? An academic perspective on sustainable fisheries management in a developing country,"Espinoza-Tenorio, A., Espejel, I., Wolff, M. ",2015,8.84598,53.10802,,252-260,10.1016/j.marpol.2015.09.001,62,,Environmental Science & Policy 
DigitalCrust – a 4D data system of material properties for transforming research on crustal fluid flow. ,"Fan, Y., Richard, S., Bristol, S., Peters, S., Ingebritsen, S., Moosdorf, N., Packman, A., Gleeson, T., Zaslavsky, I., Packham, S., Murdoch, L., Fienen, M., Cardiff, M., Torboton, D., Jones, N., Hopper, R., Arrigo, J., Gochis, D., Olson, J., Wolock, D. ",2015,8.84598,53.10802,,372-379,10.1111/gfl.12114,15,,Geofluids
Higher education cooperation in ASEAN: building towards integration of manufacturing consent? ,"Feuer, H.N., Hornidge, A.-K. ",2015,8.84598,53.10802,,327-352,10.1080/03050068.2015.1031474,51,3,Comparative Education 
Coastal livelihood vulnerability to marine resource degradation: a review of the Indonesian national coastal and marine policy framework,"Ferrol-Schulte, D. Gorris, P., Baitoningsih, W., Adhuri, D.S., Ferse, S.C.A. ",2015,113.921327,-0.789275,,163-171,10.1016/j.marpol.2014.09.026,52,,Marine Policy 
"Assessment of trace elements, POPs, 210Po and stable isotopes (15N and 13C) in a rare filter-feeding shark: the megamouth","Fulgencio de Moura, J., Merico, A., Montone, R.C., Silva, J., Guedes Seixas, T., de Oliveira Godoy, J.M., Sillenburg Saint’Pierre, T., Hauser-Davis, R.A., Madeira Di Beneditto, A.P., Cardinot Reis, E., Castro Tavares, D., Soledade Lemos, L., Siciliano, S. ",2015,-118.665745,34.039824,,402-406,10.1016/j.marpolbul.2015.03.038,15,3,Marine Pollution Bulletin 
"Ecological change, sliding baselines and the importance of historical data: lessons from combining observational and quantitative data on a temperature reef over 70 years","Gatti, G., Bianchi, C.N., Parravicini, V., Rovere, A., Peirano, A., Montefalcone, M., Massa, F., Morri, C. ",2015,11.343106,40.076986,,,10.1371/journal.pone.0118581,10,2,Plos One 
"Distribution, feeding behaviour, and conditions of Cape horse mackerel early life stages, Trachurus capensis, under different environmental conditions in the northern Benguela upwelling ecosystem","Geist, S., Kunzmann, A., Verheye, H.M., Eggert, A., Schukat, A., Ekau, W. ",2015,18.49041,-22.95764,,543-557,10.1093/icesjms/fsu087,72,2,ICES Journal of Marine Science 
Particulate Matter in Mangrove Forests and Seagrass Beds as a Nitrogen Source in Tropical Coastal Ecosystems,"Gillis, L. G., Bouma, T. J., Cathalot, C., Ziegler, A. D. and Herman, P. M. ",2015,100.992541,15.870032,,286-291,10.1111/btp.12220,47,,Biotropica
Of exploited reefs and fishers - a holistic view on participatory coastal and marine management in an Indonesian archipelago,"Glaser, M., Breckwoldt, A., Deswandi, R., Radjawali, I., Baitoningsih, W., Ferse, S.C.A ",2015,113.921327,-0.789275,,193-213,10.1016/j.ocecoaman.2015.07.022,116,,Ocean and Coastal Management 
Suitable environmental ranges for potential coral reef habitats in the tropical ocean,"Guan, Y., Hohn, S. Merico, A. ",2015,-117.679945,33.615747,,,10.1371/journal.pone.0128831,10,6,Plos One 
Sterile surfaces of Mnemiopsis leidyi (Ctenophora) in bacterial suspension – a key to invasion success? ,"Hammann, S., Moss, A., Zimmer, M. ",2015,,,,237-246,10.4236/ojms.2015.52019,,5, Open Journal of Marine Sciences 
Spatial variations in wave transformation and sediment entrainment on a coral reef sand apron,"Harris, D.L., Vila-Concejo, A., Webster, J.M., Power, H.E. ",2015,133.775136,-25.274398,,220-229,10.1016/j.margeo.2015.02.010,363,,Marine Geology 
Late Holocene sea-level fall and turn-off of reef flat carbonate production: Rethinking bucket fill and coral reef growth models,"Harris, D.L., Webster, J.M., Vila-Concejo, A., Hua, Q., Yokoyama, Y. and Reimer, P.J. ",2015,,,,175-178,10.1130/G35977.1,,,Geology 
CO2 and inorganic nutrient enrichment affect the performance of a calcifying green alga and its noncalcifying epiphyte,"Hofmann, L.C., Bischof, K., Baggini, C., Johnson, A., Koop-Jakobsen, K., Teichberg, M. ",2015,8.85204,53.106758,,1157-1169,10.1007/s00442-015-3242-5.,177,4,Oecologia 
Quantifying the relative importance of transcellular and paracellular ion transports to coral polyp calcification,"Hohn, S., Merico, A. ",2015,8.801694,53.079296,,,10.3389/feart.2014.00037,2,37,Frontiers in Earth Science 
Crossroads Studies: from spatial containers to studying the mobile,"Hornidge, A.-K., Mielke, K. ",2015,8.85204,53.106758,,13-19,10.17192/meta.2015.4.3577,4,,Middle East - Topics and Arguments 
Sex- and habitat-specific movement of an omnivorous semi-terrestrial crab controls habitat connectivity and subsidies: a multi-parameter approach,"Hübner, L., Pennings, S.C., Zimmer, M. ",2015,-95.712891,37.09024,,999-1015,10.1007/s00442-015-3271-0,178,4,Oecologia
Incorporating local institutions in irrigation experiments: evidence from rural communities in Pakistan,"Javaid, A., Falk, T. ",2015,72.67186,32.083741,,,10.5751/ES-07532-200228,20,2,Ecology and Society 
Benthic nutrient fluxes from mangrove sediments of an anthropoligenically impacted estuary in southern China,"Kaiser, D., Kowalski, N., Böttcher, M.E., Yan, B., Unger, D. ",2015,104.195397,35.86166,,466-491,10.3390/jmse3020466,3,,Journal of Marine Science and Engineering 
Interplay between perceived changes in fishery and social structures in Tanzanian coastal fishing communities,"Katikiro, R., Ashoka Deepananda, K.H.M., Macusi, E. ",2015,34.888822,-6.369028,,248-253,10.1016/j.fishres.2014.12.009.,164,,Fisheries Research
"Physiological response of the hard coral Pocillopora verrucosa from Lombok, Indonesia, to two common pollutants in combination with high temperature","Kegler, P., Baum, G., Indriana, L.S., Wild, C., Kunzmann, A. ",2015,116.324944,-8.650979,,,10.1371/journal.pone.0142744,10,11,Plos One 
"Facies patterns of a tropical heterozoan carbonate platform under eutrophic conditions: the Banc d’Arguin, Mauritania","Klicpera, A., Michel, J., Westphal, H. ",2015,-10.940835,21.00789,,,10.1007/s10347-014-0421-5,61,421,Facies 
Comparative growth and mortality of cultured Lion’s Paw scallops (Nodipecten subnodosus) from Gulf of California and Pacific populations and their reciprocal transplants. ,"Koch, V., Rengstorf. A., Taylor, M., Mazón-Suástegui, J., Sindel, F., Wolff, M. ",2015,,,,185-201. ,10.1111/are.12175,46,1,Aquaculture Research 
